"stfips","areatype","area","areaname","periodyear","periodtype","period","Adjusted","Preliminary","benchmark",laborforce,emplab,unemp,unemprate
"06","01","000000","California","1990","01","00","Not adj","Not Prelim","2019",15138400,14264200,874300,5.8
"06","01","000000","California","1990","03","01","Not adj","Not Prelim","2019",14953900,14099700,854200,5.7
"06","01","000000","California","1990","03","01","Adj","Not Prelim","2019",15006700,14230600,776100,5.2
"06","01","000000","California","1990","03","02","Not adj","Not Prelim","2019",15049400,14206700,842800,5.6
"06","01","000000","California","1990","03","02","Adj","Not Prelim","2019",15108100,14324300,783800,5.2
"06","01","000000","California","1990","03","03","Not adj","Not Prelim","2019",15094700,14274300,820300,5.4
"06","01","000000","California","1990","03","03","Adj","Not Prelim","2019",15148900,14356000,792900,5.2
"06","01","000000","California","1990","03","04","Not adj","Not Prelim","2019",15087200,14265500,821700,5.4
"06","01","000000","California","1990","03","04","Adj","Not Prelim","2019",15165000,14359900,805100,5.3
"06","01","000000","California","1990","03","05","Not adj","Not Prelim","2019",15154700,14366300,788400,5.2
"06","01","000000","California","1990","03","05","Adj","Not Prelim","2019",15169200,14348400,820800,5.4
"06","01","000000","California","1990","03","06","Not adj","Not Prelim","2019",15216900,14412600,804300,5.3
"06","01","000000","California","1990","03","06","Adj","Not Prelim","2019",15165900,14325700,840200,5.5
"06","01","000000","California","1990","03","07","Not adj","Not Prelim","2019",15329500,14419200,910300,5.9
"06","01","000000","California","1990","03","07","Adj","Not Prelim","2019",15160400,14296000,864500,5.7
"06","01","000000","California","1990","03","08","Not adj","Not Prelim","2019",15270400,14394700,875700,5.7
"06","01","000000","California","1990","03","08","Adj","Not Prelim","2019",15155000,14261600,893400,5.9
"06","01","000000","California","1990","03","09","Not adj","Not Prelim","2019",15140200,14247900,892300,5.9
"06","01","000000","California","1990","03","09","Adj","Not Prelim","2019",15148100,14222000,926100,6.1
"06","01","000000","California","1990","03","10","Not adj","Not Prelim","2019",15155900,14254600,901300,5.9
"06","01","000000","California","1990","03","10","Adj","Not Prelim","2019",15139200,14176500,962700,6.4
"06","01","000000","California","1990","03","11","Not adj","Not Prelim","2019",15119200,14129200,990000,6.5
"06","01","000000","California","1990","03","11","Adj","Not Prelim","2019",15130000,14129300,1000700,6.6
"06","01","000000","California","1990","03","12","Not adj","Not Prelim","2019",15089000,14099000,989900,6.6
"06","01","000000","California","1990","03","12","Adj","Not Prelim","2019",15121700,14084500,1037200,6.9
"06","01","000000","California","1991","01","00","Not adj","Not Prelim","2019",15126500,13960000,1166500,7.7
"06","01","000000","California","1991","03","01","Not adj","Not Prelim","2019",15000000,13868400,1131600,7.5
"06","01","000000","California","1991","03","01","Adj","Not Prelim","2019",15115500,14042900,1072500,7.1
"06","01","000000","California","1991","03","02","Not adj","Not Prelim","2019",15063100,13868500,1194600,7.9
"06","01","000000","California","1991","03","02","Adj","Not Prelim","2019",15113700,14008200,1105500,7.3
"06","01","000000","California","1991","03","03","Not adj","Not Prelim","2019",15062500,13866200,1196300,7.9
